권역,입출구,2020.12.06,2020.12.07,2020.12.08,2020.12.09,2020.12.10,2020.12.11,2020.12.12,2020.12.13,2020.12.14,2020.12.15,2020.12.16,2020.12.17,2020.12.18,2020.12.19,2020.12.20,2020.12.21,2020.12.22,2020.12.23,2020.12.24,2020.12.25,2020.12.26,2020.12.27,2020.12.28,2020.12.29,2020.12.30,2020.12.31,2021.01.01,2021.01.02,2021.01.03,2021.01.04,2021.01.05,2021.01.06,2021.01.07,2021.01.08,2021.01.09,2021.01.10,2021.01.11,2021.01.12,2021.01.13,2021.01.14,2021.01.15,2021.01.16,2021.01.17,2021.01.18,2021.01.19,2021.01.20,2021.01.21,2021.01.22,2021.01.23,2021.01.24,2021.01.25,2021.01.26,2021.01.27,2021.01.28,2021.01.29,2021.01.30,2021.01.31,2021.02.01,2021.02.02,2021.02.03,2021.02.04,2021.02.05,2021.02.06,2021.02.07,2021.02.08,2021.02.09,2021.02.10,2021.02.11,2021.02.12,2021.02.13,2021.02.14,2021.02.15,2021.02.16,2021.02.17,2021.02.18,2021.02.19,2021.02.20,2021.02.21,2021.02.22,2021.02.23,2021.02.24,2021.02.25,2021.02.26,2021.02.27,2021.02.28,2021.03.01,2021.03.02,2021.03.03,2021.03.04,2021.03.05,2021.03.06,2021.03.07,2021.03.08,2021.03.09,2021.03.10,2021.03.11,2021.03.12,2021.03.13,2021.03.14,2021.03.15,2021.03.16,2021.03.17,2021.03.18,2021.03.19,2021.03.20,2021.03.21,2021.03.22,2021.03.23,2021.03.24,2021.03.25,2021.03.26,2021.03.27,2021.03.28,2021.03.29,2021.03.30,2021.03.31,2021.04.01,2021.04.02,2021.04.03,2021.04.04,2021.04.05,2021.04.06,2021.04.07,2021.04.08,2021.04.09,2021.04.10,2021.04.11,2021.04.12,2021.04.13,2021.04.14,2021.04.15,2021.04.16,2021.04.17,2021.04.18,2021.04.19,2021.04.20,2021.04.21,2021.04.22,2021.04.23,2021.04.24,2021.04.25,2021.04.26,2021.04.27,2021.04.28,2021.04.29,2021.04.30,2021.05.01,2021.05.02,2021.05.03,2021.05.04,2021.05.05,2021.05.06,2021.05.07,2021.05.08,2021.05.09,2021.05.10,2021.05.11,2021.05.12,2021.05.13,2021.05.14,2021.05.15,2021.05.16,2021.05.17,2021.05.18,2021.05.19,2021.05.20,2021.05.21,2021.05.22,2021.05.23,2021.05.24,2021.05.25,2021.05.26,2021.05.27,2021.05.28,2021.05.29,2021.05.30,2021.05.31,2021.06.01,2021.06.02,2021.06.03,2021.06.04,2021.06.05,2021.06.06,2021.06.07,2021.06.08,2021.06.09,2021.06.10,2021.06.11,2021.06.12,2021.06.13,2021.06.14,2021.06.15,2021.06.16,2021.06.17,2021.06.18,2021.06.19,2021.06.20,2021.06.21,2021.06.22,2021.06.23,2021.06.24,2021.06.25,2021.06.26,2021.06.27,2021.06.28,2021.06.29,2021.06.30,2021.07.01,2021.07.02,2021.07.03,2021.07.04,2021.07.05,2021.07.06,2021.07.07,2021.07.08,2021.07.09,2021.07.10,2021.07.11,2021.07.12,2021.07.13,2021.07.14,2021.07.15,2021.07.16,2021.07.17,2021.07.18,2021.07.19,2021.07.20,2021.07.21,2021.07.22,2021.07.23,2021.07.24,2021.07.25,2021.07.26,2021.07.27,2021.07.28,2021.07.29,2021.07.30,2021.07.31,2021.08.01,2021.08.02,2021.08.03,2021.08.04,2021.08.05,2021.08.06,2021.08.07,2021.08.08,2021.08.09,2021.08.10,2021.08.11,2021.08.12,2021.08.13,2021.08.14,2021.08.15,2021.08.16,2021.08.17,2021.08.18,2021.08.19,2021.08.20,2021.08.21,2021.08.22,2021.08.23,2021.08.24,2021.08.25,2021.08.26,2021.08.27,2021.08.28,2021.08.29,2021.08.30,2021.08.31,2021.09.01,2021.09.02,2021.09.03,2021.09.04,2021.09.05,2021.09.06,2021.09.07,2021.09.08,2021.09.09,2021.09.10,2021.09.11,2021.09.12,2021.09.13,2021.09.14,2021.09.15,2021.09.16,2021.09.17,2021.09.18,2021.09.19,2021.09.20,2021.09.21,2021.09.22,2021.09.23,2021.09.24,2021.09.25,2021.09.26,2021.09.27,2021.09.28,2021.09.29,2021.09.30,2021.10.01,2021.10.02,2021.10.03,2021.10.04,2021.10.05,2021.10.06,2021.10.07,2021.10.08,2021.10.09,2021.10.10,2021.10.11,2021.10.12,2021.10.13,2021.10.14,2021.10.15,2021.10.16,2021.10.17,2021.10.18,2021.10.19,2021.10.20,2021.10.21,2021.10.22,2021.10.23,2021.10.24,2021.10.25,2021.10.26,2021.10.27,2021.10.28,2021.10.29,2021.10.30,2021.10.31,2021.11.01,2021.11.02,2021.11.03,2021.11.04,2021.11.05,2021.11.06,2021.11.07,2021.11.08,2021.11.09,2021.11.10,2021.11.11,2021.11.12,2021.11.13,2021.11.14,2021.11.15,2021.11.16,2021.11.17,2021.11.18,2021.11.19,2021.11.20,2021.11.21,2021.11.22,2021.11.23,2021.11.24,2021.11.25,2021.11.26,2021.11.27,2021.11.28,2021.11.29,2021.11.30,2021.12.01,2021.12.02,2021.12.03,2021.12.04,2021.12.05,2021.12.06,2021.12.07,2021.12.08,2021.12.09,2021.12.10,2021.12.11,2021.12.12,2021.12.13,2021.12.14,2021.12.15,2021.12.16,2021.12.17,2021.12.18,2021.12.19,2021.12.20,2021.12.21,2021.12.22,2021.12.23,2021.12.24,2021.12.25,2021.12.26,2021.12.27,2021.12.28,2021.12.29,2021.12.30,2021.12.31,2022.01.01,2022.01.02,2022.01.03,2022.01.04,2022.01.05,2022.01.06,2022.01.07,2022.01.08,2022.01.09,2022.01.10,2022.01.11,2022.01.12,2022.01.13,2022.01.14,2022.01.15,2022.01.16,2022.01.17,2022.01.18,2022.01.19,2022.01.20,2022.01.21,2022.01.22,2022.01.23,2022.01.24,2022.01.25,2022.01.26,2022.01.27,2022.01.28,2022.01.29,2022.01.30,2022.01.31,2022.02.01,2022.02.02,2022.02.03,2022.02.04,2022.02.05,2022.02.06,2022.02.07,2022.02.08,2022.02.09,2022.02.10,2022.02.11,2022.02.12,2022.02.13,2022.02.14,2022.02.15,2022.02.16,2022.02.17,2022.02.18,2022.02.19,2022.02.20,2022.02.21,2022.02.22,2022.02.23,2022.02.24,2022.02.25,2022.02.26,2022.02.27,2022.02.28,2022.03.01,2022.03.02,2022.03.03,2022.03.04,2022.03.05,2022.03.06,2022.03.07,2022.03.08,2022.03.09,2022.03.10,2022.03.11,2022.03.12,2022.03.13,2022.03.14,2022.03.15,2022.03.16,2022.03.17,2022.03.18,2022.03.19,2022.03.20,2022.03.21,2022.03.22,2022.03.23,2022.03.24,2022.03.25,2022.03.26,2022.03.27,2022.03.28,2022.03.29,2022.03.30,2022.03.31,2022.04.01,2022.04.02,2022.04.03,2022.04.04,2022.04.05,2022.04.06,2022.04.07,2022.04.08,2022.04.09,2022.04.10,2022.04.11,2022.04.12,2022.04.13,2022.04.14,2022.04.15,2022.04.16,2022.04.17,2022.04.18,2022.04.19,2022.04.20,2022.04.21,2022.04.22,2022.04.23,2022.04.24,2022.04.25,2022.04.26,2022.04.27,2022.04.28,2022.04.29,2022.04.30,2022.05.01,2022.05.02,2022.05.03,2022.05.04,2022.05.05,2022.05.06,2022.05.07,2022.05.08,2022.05.09,2022.05.10,2022.05.11,2022.05.12,2022.05.13,2022.05.14,2022.05.15,2022.05.16,2022.05.17,2022.05.18,2022.05.19,2022.05.20,2022.05.21,2022.05.22,2022.05.23,2022.05.24,2022.05.25,2022.05.26,2022.05.27,2022.05.28,2022.05.29,2022.05.30,2022.05.31,2022.06.01,2022.06.02,2022.06.03,2022.06.04,2022.06.05,2022.06.06,2022.06.07,2022.06.08,2022.06.09,2022.06.10,2022.06.11,2022.06.12,2022.06.13,2022.06.14,2022.06.15,2022.06.16
수도권본부,출구,"1,078,145","1,423,350","1,405,607","1,418,693","1,431,632","1,495,446","1,276,019","878,245","1,339,469","1,357,557","1,360,348","1,392,362","1,436,434","1,180,157","925,877","1,389,996","1,405,889","1,428,945","1,468,183","970,860","1,058,300","879,819","1,377,893","1,381,890","1,365,457","1,356,170","847,532","988,770","857,082","1,315,465","1,344,678","1,291,418","988,725","1,234,007","1,011,488","784,370","1,328,675","1,278,121","1,297,146","1,405,250","1,458,573","1,213,963","921,539","1,136,987","1,353,298","1,418,588","1,394,932","1,465,840","1,252,706","1,018,368","1,418,955","1,384,188","1,438,798","1,275,951","1,441,836","1,218,912","1,012,425","1,403,111","1,423,009","1,388,512","1,295,333","1,506,097","1,278,963","1,027,928","1,482,484","1,512,568","1,454,156","1,019,647","1,149,822","1,133,215","1,005,285","1,373,907","1,360,885","1,394,936","1,425,901","1,519,014","1,319,940","1,099,812","1,461,193","1,465,112","1,476,116","1,499,732","1,561,982","1,407,687","1,231,542","1,016,148","1,400,866","1,460,534","1,472,744","1,545,544","1,317,995","1,094,235","1,450,785","1,461,476","1,468,368","1,490,101","1,540,013","1,363,141","1,156,365","1,472,622","1,471,064","1,484,825","1,503,085","1,576,349","1,282,354","1,148,971","1,465,891","1,481,576","1,489,992","1,499,416","1,580,775","1,289,365","1,082,256","1,473,370","1,498,894","1,500,191","1,545,218","1,552,820","1,195,906","1,156,731","1,501,314","1,499,390","1,502,443","1,510,054","1,536,095","1,435,011","1,255,017","1,428,683","1,461,850","1,500,659","1,527,377","1,535,059","1,376,632","1,221,402","1,491,083","1,499,982","1,505,214","1,516,762","1,570,424","1,397,999","1,228,466","1,495,410","1,497,555","1,493,601","1,509,131","1,579,173","1,283,178","1,227,403","1,528,780","1,501,577","1,232,249","1,542,152","1,573,738","1,453,507","1,286,539","1,449,545","1,502,781","1,500,840","1,522,603","1,593,595","1,309,931","967,182","1,419,226","1,588,657","1,299,735","1,506,225","1,522,216","1,391,192","1,197,910","1,503,521","1,470,699","1,514,395","1,456,210","1,491,538","1,375,843","1,209,406","1,477,750","1,473,732","1,485,728","1,416,394","1,582,334","1,407,681","1,224,326","1,493,551","1,491,231","1,497,717","1,515,031","1,513,375","1,383,681","1,223,293","1,500,791","1,480,337","1,503,961","1,519,695","1,516,647","1,423,024","1,251,297","1,520,782","1,508,085","1,495,879","1,523,299","1,600,813","1,389,269","1,250,690","1,497,133","1,499,229","1,497,830","1,500,225","1,590,528","1,310,849","1,055,968","1,497,249","1,506,725","1,484,972","1,472,670","1,553,855","1,307,937","1,097,199","1,443,270","1,453,206","1,460,518","1,457,149","1,518,800","1,279,092","1,092,110","1,451,653","1,464,385","1,466,824","1,473,619","1,526,759","1,287,431","1,085,384","1,463,523","1,463,898","1,465,817","1,483,245","1,524,409","1,294,233","1,089,761","1,400,033","1,434,570","1,426,011","1,449,122","1,489,346","1,298,807","1,095,494","1,473,792","1,481,366","1,479,116","1,496,856","1,560,527","1,347,383","1,192,903","1,326,516","1,484,756","1,462,924","1,493,874","1,554,402","1,182,735","1,105,299","1,424,533","1,364,484","1,454,429","1,500,702","1,508,584","1,366,969","1,182,120","1,507,084","1,402,537","1,407,772","1,489,230","1,569,770","1,439,194","1,261,325","1,486,088","1,360,964","1,491,305","1,527,552","1,583,016","1,460,083","1,269,742","1,535,071","1,549,608","1,569,424","1,579,730","1,556,458","1,251,662","1,129,438","1,146,700","1,287,847","1,239,069","1,434,367","1,503,492","1,321,151","1,122,098","1,480,834","1,488,596","1,397,145","1,512,261","1,564,106","1,392,345","1,240,682","1,296,761","1,483,411","1,453,627","1,482,856","1,543,600","1,396,664","1,187,357","1,363,817","1,497,806","1,505,022","1,535,113","1,569,843","1,400,801","1,203,596","1,493,969","1,475,252","1,498,593","1,504,425","1,557,934","1,434,712","1,267,724","1,509,058","1,510,903","1,513,692","1,527,402","1,567,157","1,450,620","1,275,984","1,489,533","1,490,397","1,496,654","1,510,453","1,582,585","1,466,266","1,293,487","1,387,424","1,398,907","1,473,722","1,508,110","1,561,326","1,448,175","1,290,267","1,509,064","1,504,953","1,505,168","1,496,016","1,560,826","1,433,148","1,265,815","1,473,273","1,466,530","1,470,338","1,480,112","1,549,934","1,410,376","1,251,795","1,503,860","1,354,484","1,444,263","1,463,909","1,525,271","1,350,639","1,176,467","1,450,110","1,451,249","1,447,898","1,463,601","1,514,289","1,325,552","1,132,983","1,437,896","1,434,433","1,431,055","1,473,692","1,515,746","1,157,838","936,278","1,406,812","1,441,025","1,462,110","1,490,002","1,506,892","1,062,103","974,121","1,382,308","1,434,224","1,421,559","1,445,786","1,404,135","1,059,099","1,029,185","1,357,635","1,385,281","1,410,056","1,428,743","1,495,801","1,266,634","1,051,308","1,415,026","1,393,923","1,405,018","1,428,183","1,494,374","1,266,726","1,057,753","1,394,738","1,408,424","1,287,765","1,413,480","1,509,539","1,304,828","1,091,542","1,460,441","1,441,864","1,494,721","1,502,438","1,449,610","1,090,293","992,685","1,023,288","1,131,270","1,049,919","1,313,993","1,409,472","1,141,419","915,462","1,381,296","1,400,475","1,396,943","1,430,243","1,493,576","1,269,119","1,044,371","1,406,170","1,390,767","1,388,074","1,402,188","1,475,972","1,250,578","1,017,761","1,399,610","1,407,746","1,405,248","1,420,114","1,496,684","1,265,058","1,081,826","1,476,546","1,100,774","1,384,144","1,417,357","1,476,796","1,211,898","990,583","1,390,833","1,470,028","1,036,730","1,406,048","1,487,087","1,258,894","919,716","1,335,204","1,382,803","1,393,562","1,397,604","1,446,892","1,096,819","1,016,545","1,392,882","1,401,987","1,400,965","1,417,347","1,489,033","1,198,314","1,107,251","1,420,270","1,433,857","1,405,636","1,427,956","1,518,589","1,365,661","1,189,876","1,450,717","1,464,120","1,475,061","1,473,135","1,522,990","1,418,178","1,255,080","1,488,107","1,495,506","1,416,200","1,485,355","1,581,980","1,426,501","1,253,837","1,497,777","1,503,384","1,504,475","1,516,768","1,567,815","1,434,045","1,258,608","1,505,051","1,475,968","1,510,580","1,537,889","1,572,692","1,456,546","1,283,946","1,507,817","1,529,659","1,627,042","1,315,583","1,561,623","1,496,110","1,373,759","1,559,952","1,515,302","1,515,475","1,527,192","1,596,779","1,434,070","1,262,352","1,509,193","1,512,721","1,500,643","1,535,351","1,606,576","1,440,387","1,268,539","1,509,224","1,512,789","1,513,514","1,525,068","1,596,969","1,429,891","1,257,224","1,502,541","1,581,785","1,213,552","1,518,020","1,611,483","1,462,844","1,284,077","1,295,698","1,527,320","1,511,366","1,497,771","1,582,400","1,417,363","1,236,052","1,494,344","1,494,851","1,458,354","1,520,533"
강원본부,출구,"178,826","197,219","194,636","193,647","197,559","235,676","219,394","143,367","176,197","175,047","175,997","184,752","211,447","187,839","144,179","187,532","188,302","191,995","214,951","186,266","177,852","141,456","187,745","185,117","174,887","203,458","175,603","165,987","132,521","165,869","165,585","160,629","137,966","162,252","146,299","120,946","166,448","168,633","164,337","184,301","205,770","199,656","150,425","143,303","164,713","182,342","181,163","203,618","198,661","166,751","190,165","183,274","187,940","163,968","193,115","195,917","168,628","180,020","179,467","179,885","166,752","214,059","211,321","164,651","195,785","200,257","223,921","211,852","232,012","233,426","165,911","183,662","179,311","174,400","184,952","226,373","229,957","192,407","205,839","202,323","204,207","209,119","250,253","271,779","276,749","163,728","156,138","181,935","189,496","218,623","187,913","160,259","193,465","192,754","193,916","196,614","218,495","223,716","180,464","196,092","194,222","196,857","199,691","234,074","203,173","174,255","198,534","198,067","198,441","203,034","235,719","212,161","161,074","198,850","198,309","199,899","213,182","233,194","202,383","176,411","210,888","205,966","205,204","209,745","253,404","260,700","215,559","194,797","196,322","208,679","213,066","241,239","243,205","203,110","212,034","207,537","208,748","212,567","252,732","251,778","205,670","213,552","208,469","208,504","211,386","246,229","227,615","218,158","227,633","228,854","213,214","230,473","260,159","249,499","210,007","203,829","213,938","213,255","219,823","259,425","239,269","155,558","199,599","245,679","231,237","215,552","246,298","262,431","211,750","219,132","206,660","215,138","201,092","231,707","253,787","206,704","209,734","206,246","208,268","199,448","260,427","269,813","217,987","214,930","212,548","214,324","218,123","246,397","265,919","222,671","223,819","213,857","216,635","225,710","259,365","278,211","231,584","225,405","220,519","220,636","232,832","279,558","257,476","232,353","230,804","223,484","215,641","226,082","272,673","247,124","181,759","223,895","220,756","210,437","209,203","260,132","248,119","197,893","218,581","218,829","222,640","225,000","270,976","254,949","213,580","223,315","222,711","223,469","228,853","263,414","243,254","202,738","226,887","225,482","235,155","247,027","281,878","267,860","242,531","259,037","257,450","253,355","254,711","278,270","255,561","213,246","225,992","229,253","238,530","247,014","282,788","275,276","269,984","243,516","225,261","218,584","225,850","261,276","213,445","202,132","212,556","188,134","209,860","226,895","250,114","262,026","215,652","224,475","201,354","186,557","216,709","263,426","271,040","232,339","218,097","187,857","215,121","231,413","262,181","267,173","223,142","228,832","230,137","229,595","232,042","247,868","254,241","263,292","254,813","247,354","196,844","223,775","242,287","227,721","191,143","218,556","215,862","191,355","221,621","256,360","274,261","261,884","216,123","209,438","198,475","212,331","259,247","282,444","268,997","229,693","225,832","227,215","236,288","258,915","259,048","222,741","230,643","220,091","229,807","233,306","273,070","279,665","243,197","236,944","232,892","230,640","237,391","277,581","278,194","240,082","227,202","220,893","222,202","228,608","272,295","273,842","231,490","199,028","199,321","210,857","222,270","262,589","262,393","223,942","222,697","217,578","218,312","224,759","266,436","256,737","209,133","213,814","208,925","208,402","216,036","253,709","250,529","207,239","217,644","181,592","196,362","204,800","242,857","236,873","192,105","210,315","201,896","205,092","208,960","243,806","237,995","191,888","205,120","200,629","196,334","206,297","238,910","205,422","158,982","203,170","205,037","206,560","214,510","243,687","188,212","161,868","198,505","202,317","207,250","220,020","268,614","271,306","183,575","190,103","189,137","191,160","196,674","229,463","226,743","180,486","202,750","193,578","192,336","196,693","233,283","229,187","185,291","200,562","194,663","182,513","183,682","231,990","229,848","186,797","205,408","198,871","206,292","210,543","231,160","223,794","225,415","213,558","200,730","167,590","196,096","215,391","195,018","152,645","189,700","193,089","193,901","200,017","231,310","227,709","178,694","194,922","189,022","187,191","191,688","229,287","226,072","181,707","198,110","195,682","194,513","204,466","241,236","233,244","211,536","237,395","182,740","187,450","191,478","214,476","187,603","149,469","187,695","197,074","159,291","190,682","216,909","201,929","133,695","179,147","186,611","187,018","181,706","200,654","161,970","155,315","188,728","187,406","185,652","190,972","218,690","187,522","177,764","198,224","195,913","185,786","188,161","233,503","236,218","192,592","201,084","200,056","200,694","204,551","250,041","251,577","209,296","214,684","207,365","185,232","203,449","251,057","250,745","207,858","213,957","210,926","211,298","213,832","252,877","251,053","208,621","215,578","204,330","214,310","218,800","252,445","258,926","216,762","215,321","216,454","262,365","262,612","299,259","280,102","233,368","223,251","216,758","214,913","220,397","258,764","259,536","215,057","220,970","217,959","215,010","223,253","266,400","261,603","216,771","223,721","218,009","217,248","218,458","263,028","261,366","216,466","222,545","237,712","208,561","228,106","284,392","324,072","284,997","219,016","216,326","214,976","214,423","258,824","255,520","209,919","221,271","211,687","206,979","220,686"
대전충남본부,출구,"273,571","308,932","298,639","300,256","301,894","334,871","300,967","228,876","292,237","282,465","285,780","293,164","317,920","271,829","228,425","303,076","295,901","302,217","325,845","233,523","246,206","224,802","300,825","290,258","267,908","292,665","200,016","222,634","224,508","274,373","270,476","268,364","212,396","258,877","218,033","189,837","278,542","275,645","274,495","291,765","317,214","278,151","237,773","237,941","272,680","292,962","288,406","314,938","282,795","254,939","304,309","285,273","296,853","267,345","300,865","278,573","252,790","293,707","290,597","290,801","279,843","327,373","294,345","245,676","318,721","317,853","307,495","238,751","325,685","301,337","255,224","294,584","287,302","274,078","291,113","330,681","312,926","279,096","319,825","311,736","314,263","313,252","349,520","344,606","342,668","276,146","298,355","303,364","302,970","340,057","313,026","271,521","313,532","307,787","311,744","314,792","332,877","329,680","301,726","322,754","310,717","316,297","320,081","356,386","296,829","292,666","320,821","315,565","314,432","321,831","360,238","313,806","279,658","326,694","322,136","321,803","325,812","358,860","300,707","297,618","337,163","322,356","320,351","324,511","365,256","369,835","348,630","311,348","309,812","324,122","326,382","351,915","343,466","328,742","332,293","326,623","325,936","327,670","359,336","356,668","340,698","336,079","322,869","321,802","326,177","364,560","322,854","343,571","341,239","341,926","322,465","339,460","368,482","369,807","375,872","315,063","318,098","326,152","333,166","370,043","315,885","254,543","316,694","359,275","325,185","320,345","345,518","351,266","318,044","334,566","319,883","326,727","314,791","339,379","351,244","324,257","327,547","318,145","320,799","303,217","364,726","356,529","325,979","332,943","323,806","326,722","330,833","350,982","352,077","325,770","338,849","321,399","326,911","332,474","356,366","362,596","337,572","341,303","330,748","320,682","332,986","375,131","351,454","339,998","342,803","329,811","325,081","329,728","370,834","318,231","276,494","332,051","312,139","304,278","313,492","356,422","329,451","286,827","328,588","322,900","322,658","325,071","357,761","326,977","291,107","327,002","320,069","321,588","321,824","356,304","323,419","286,416","328,999","321,304","322,531","327,428","358,898","321,700","297,796","322,179","324,187","321,014","321,852","349,034","317,672","288,446","329,905","321,440","326,317","328,119","363,081","332,037","330,702","332,807","327,966","322,207","324,225","356,772","274,931","285,187","302,449","288,696","304,022","327,629","338,399","340,185","302,778","335,649","304,720","295,685","321,515","373,891","380,701","364,711","328,682","303,453","328,667","342,083","376,678","386,260","352,106","354,012","347,257","354,436","359,823","349,720","296,065","279,182","298,483","404,543","327,352","327,505","348,225","330,211","296,404","337,314","328,818","303,096","336,013","368,221","357,963","351,409","332,828","337,412","330,642","332,769","372,059","372,230","352,586","337,687","329,878","332,488","344,838","369,130","340,907","317,586","345,512","324,191","333,656","341,179","376,151","369,507","347,857","346,111","334,013","336,154","338,418","372,069","368,073","351,486","340,425","330,927","331,975","336,763","381,174","382,287","362,217","315,090","313,413","315,251","332,460","371,420","368,226","360,807","348,515","336,589","337,475","339,434","380,194","369,897","348,853","330,758","316,949","324,083","331,427","369,786","356,479","340,067","343,895","295,527","314,082","323,604","350,140","324,904","307,702","331,657","321,732","323,340","323,352","349,386","324,683","296,425","322,403","313,638","313,117","322,764","343,398","284,091","247,956","321,255","317,905","323,230","323,646","349,311","259,024","246,395","310,598","307,316","311,435","309,063","327,461","279,953","281,755","298,149","293,460","298,474","304,466","332,854","303,753","260,420","313,403","298,185","302,425","298,744","333,723","304,174","267,860","312,166","304,115","294,718","303,570","341,343","312,380","268,749","323,630","310,705","324,414","328,664","321,417","250,680","234,433","256,006","329,918","262,739","289,097","306,114","257,542","218,975","299,486","296,743","298,648","304,784","331,298","302,616","255,890","312,859","296,985","289,908","296,823","329,344","296,692","251,378","306,145","303,518","302,640","307,629","340,943","307,240","283,795","342,709","283,630","303,953","306,633","330,209","284,293","253,906","312,282","324,112","251,756","309,308","335,308","302,810","225,192","299,839","301,983","302,779","292,765","318,530","262,732","258,988","308,804","304,449","301,643","304,656","334,360","276,554","287,809","318,790","311,380","301,854","302,946","346,202","346,012","336,427","325,162","318,638","323,742","322,415","367,989","373,243","356,305","342,622","332,333","303,416","320,283","373,225","367,793","349,410","343,126","332,164","332,372","334,366","371,737","368,365","351,400","344,660","317,959","342,636","342,226","371,961","370,739","361,583","345,575","338,132","381,778","345,572","394,115","411,404","415,505","353,404","337,644","334,711","340,430","374,589","365,036","336,591","346,437","337,957","335,151","340,163","380,405","366,688","338,568","344,766","336,127","334,443","337,127","375,007","360,309","336,230","343,729","355,244","291,983","337,522","379,299","367,314","352,340","358,723","337,029","328,145","329,460","370,499","354,027","319,281","343,045","327,413","323,828","342,168"
전북본부,출구,"105,799","113,400","107,446","107,921","111,008","131,215","129,721","88,203","104,422","99,739","99,643","104,700","121,831","112,366","88,498","109,026","108,378","109,644","125,405","106,060","100,923","84,879","109,180","106,388","91,173","110,108","89,515","91,487","83,910","97,988","96,796","94,227","68,184","85,021","83,514","70,473","95,774","97,179","97,346","104,879","118,425","117,030","91,676","81,186","96,222","105,028","104,045","115,841","116,243","97,357","108,575","99,108","106,250","96,098","106,747","117,347","96,660","102,988","103,378","103,997","102,302","121,611","122,095","93,951","111,707","117,131","141,858","143,536","153,013","125,798","96,005","102,525","103,388","88,912","97,698","123,730","131,359","106,386","115,235","112,403","112,662","109,545","134,731","162,679","143,512","103,589","104,065","106,943","104,626","125,102","131,115","102,971","111,905","110,271","110,702","112,773","124,795","144,737","116,803","115,513","110,291","112,771","114,678","137,225","125,734","109,136","114,267","111,892","112,230","116,277","139,888","131,344","103,470","116,549","114,210","113,940","115,711","140,599","125,884","103,469","120,937","115,811","114,432","116,893","144,473","167,237","128,717","108,317","108,829","115,526","118,150","135,895","151,567","119,804","119,374","117,748","117,063","118,720","140,572","159,140","126,124","120,207","116,123","114,636","118,865","147,944","154,541","127,965","126,467","127,617","139,030","127,614","153,431","179,145","138,251","116,027","111,802","116,491","120,559","144,636","135,943","91,130","113,441","133,527","139,433","112,673","137,077","161,345","121,759","123,637","114,907","118,054","113,695","134,395","159,783","122,743","116,703","114,032","115,268","106,496","144,296","163,205","123,131","120,383","117,251","117,793","120,343","135,063","158,146","122,640","121,037","113,424","118,549","122,674","141,681","168,232","127,166","123,815","120,751","115,295","120,484","149,688","161,641","127,771","123,286","118,109","115,353","120,344","147,650","134,980","99,818","116,035","102,688","100,490","109,369","136,476","144,333","108,934","117,995","115,656","117,309","119,744","141,671","146,691","112,561","117,899","117,902","117,150","120,258","143,234","147,169","113,786","120,967","120,094","123,402","127,156","153,147","167,041","133,983","132,615","134,097","132,369","132,147","147,265","149,829","116,859","124,429","119,932","124,810","126,841","150,525","165,190","148,443","132,942","121,749","118,459","120,512","141,106","114,282","112,070","103,823","95,744","106,364","119,708","126,829","148,830","108,395","119,005","109,620","104,227","117,545","149,288","175,537","131,713","115,095","108,198","121,713","128,571","152,090","176,691","136,159","133,162","129,791","130,498","133,800","147,574","175,220","177,424","168,628","191,046","125,663","121,979","136,169","145,295","118,684","124,695","121,444","108,211","124,099","147,079","176,547","150,966","133,454","124,940","122,757","123,195","152,087","200,102","153,946","128,155","117,294","123,661","128,517","143,757","150,166","124,762","127,399","116,491","123,590","126,265","152,722","173,713","140,174","129,471","125,985","126,194","130,271","154,305","178,786","148,767","129,303","125,837","126,015","130,991","163,217","196,579","158,073","113,051","113,001","111,566","120,902","152,113","179,543","144,327","129,917","125,007","125,760","128,554","163,861","177,724","129,815","117,647","113,029","117,782","124,801","155,516","171,061","132,219","125,220","101,953","110,302","119,475","145,149","155,630","126,578","122,678","117,240","117,655","119,583","139,592","151,647","117,752","118,096","112,988","114,927","117,099","130,331","118,591","95,390","115,238","115,200","116,287","117,984","138,820","120,002","93,830","110,587","111,772","115,531","116,824","140,344","137,004","107,419","107,152","106,185","106,226","109,332","127,571","133,860","104,194","112,432","105,849","105,793","103,588","127,115","135,110","104,454","111,758","108,925","106,509","108,702","128,790","134,683","104,018","115,644","109,747","115,476","118,911","136,498","142,676","146,574","137,218","153,898","107,340","104,918","113,103","102,866","82,130","104,024","104,229","104,116","107,602","124,032","129,588","100,106","110,659","103,680","98,105","103,361","124,207","126,580","96,385","109,099","106,773","106,032","110,283","128,190","136,864","117,559","127,352","109,372","103,418","106,264","119,774","118,389","95,899","107,259","113,622","100,852","107,827","123,861","127,615","79,821","103,753","105,209","106,255","102,046","117,409","107,835","96,542","108,662","107,209","104,885","109,472","125,109","115,581","109,207","111,599","109,723","105,178","106,571","134,775","157,192","124,191","116,591","114,335","114,644","113,298","142,834","165,638","128,056","119,846","116,604","106,607","112,018","144,506","163,205","127,791","121,704","116,920","116,448","119,092","143,804","165,041","128,241","120,596","105,679","119,704","122,601","145,384","169,780","133,016","122,055","119,181","146,508","177,651","177,290","196,881","165,585","123,674","118,818","118,280","121,679","144,145","166,801","127,642","122,639","119,284","116,877","120,721","147,705","168,177","127,428","122,337","118,153","118,140","118,929","145,089","164,532","125,346","118,269","128,225","119,873","121,007","152,676","202,991","158,806","140,097","115,309","112,753","116,710","140,792","161,900","122,368","121,501","112,034","112,161","121,599"
